Date,Open,High,Low,Close,Volume,AdjustedClose
20210104,2300.000,2380.000,2230.000,2360.000,120253500,2360.000
20210105,2370.000,2430.000,2310.000,2350.000,115900600,2350.000
20210106,2360.000,2640.000,2340.000,2510.000,410473700,2510.000
20210107,2510.000,2920.000,2510.000,2710.000,412293400,2710.000
20210108,2760.000,3010.000,2730.000,2860.000,302686900,2860.000
20210111,2910.000,3070.000,2880.000,3040.000,225648200,3040.000
20210112,3060.000,3800.000,3060.000,3760.000,545245600,3760.000
20210113,3800.000,3980.000,3650.000,3770.000,291605300,3770.000
20210114,3760.000,3940.000,3710.000,3760.000,156186400,3760.000
20210115,3760.000,3820.000,3620.000,3670.000,133074500,3670.000
20210118,3610.000,3670.000,3420.000,3420.000,214010500,3420.000
20210119,3380.000,3380.000,3190.000,3190.000,27759600,3190.000
20210120,2970.000,3650.000,2970.000,3650.000,460582500,3650.000
20210121,3700.000,3800.000,3400.000,3480.000,256274000,3480.000
20210122,3480.000,3550.000,3240.000,3240.000,143286700,3240.000
20210125,3240.000,3310.000,3020.000,3240.000,211405100,3240.000
20210126,3240.000,3320.000,3020.000,3020.000,194047400,3020.000
20210127,3020.000,3020.000,2810.000,2810.000,289989700,2810.000
20210128,2780.000,3050.000,2620.000,2620.000,406684000,2620.000
20210129,2700.000,2850.000,2440.000,2440.000,298212000,2440.000
20210201,2450.000,2960.000,2270.000,2800.000,788319700,2800.000
20210202,2830.000,2870.000,2610.000,2610.000,307312300,2610.000
20210203,2610.000,2810.000,2500.000,2750.000,415461700,2750.000
20210204,2770.000,2840.000,2620.000,2680.000,243985200,2680.000
20210205,2770.000,2780.000,2630.000,2710.000,102486100,2710.000
20210208,2710.000,3000.000,2700.000,2960.000,396067600,2960.000
20210209,2970.000,3070.000,2770.000,2830.000,340909500,2830.000
20210210,2840.000,2910.000,2760.000,2870.000,109923300,2870.000
20210211,2880.000,2950.000,2830.000,2870.000,83044700,2870.000
20210215,2870.000,2930.000,2870.000,2870.000,47366500,2870.000
20210216,2880.000,2950.000,2870.000,2900.000,68045400,2900.000
20210217,2900.000,2910.000,2740.000,2740.000,92026100,2740.000
20210218,2740.000,2780.000,2650.000,2700.000,72502400,2700.000
20210219,2700.000,2740.000,2650.000,2690.000,54334700,2690.000
20210222,2700.000,2850.000,2690.000,2770.000,120593000,2770.000
20210223,2790.000,2820.000,2740.000,2790.000,35518200,2790.000
20210224,2790.000,2870.000,2760.000,2820.000,73806700,2820.000
20210225,2830.000,2980.000,2830.000,2960.000,212040100,2960.000
20210226,2980.000,3070.000,2830.000,2940.000,234049800,2940.000
20210301,2970.000,2980.000,2880.000,2920.000,58303400,2920.000
20210302,2930.000,2950.000,2850.000,2850.000,43985100,2850.000
20210303,2860.000,2910.000,2800.000,2810.000,45506000,2810.000
20210304,2810.000,2850.000,2630.000,2680.000,74480200,2680.000
20210305,2680.000,2710.000,2580.000,2630.000,42364300,2630.000
20210308,2630.000,2740.000,2630.000,2680.000,35981600,2680.000
20210309,2680.000,2710.000,2600.000,2620.000,26459100,2620.000
20210310,2650.000,2650.000,2560.000,2570.000,25566700,2570.000
20210312,2580.000,2640.000,2570.000,2620.000,32371000,2620.000
20210315,2620.000,2680.000,2600.000,2600.000,24931000,2600.000
20210316,2600.000,2760.000,2600.000,2680.000,62132700,2680.000
